ticket_number;requestor_name;owner_group;issue_category;ticket_type;severity;severity_num;days_open;satisfaction_ind;ticket_status;created_date
728-519150-3355-2-K;Arni Lefever;Software;Access/Login;Request;Low;1;21;Unknown;Open;2020-09-22
380-939270-1111-1-P;Naoma Winslade;Security and Governance;Access/Login;Request;Low;1;10;Unknown;Open;2020-06-29
065-564467-9139-8-B;Darelle Aizic;Security and Governance;Access/Login;Request;Low;1;8;Satisfied;Resolved;2020-05-06
250-378578-9916-3-J;Dorotea Gaymer;Security and Governance;Access/Login;Request;Medium;2;18;Unknown;Resolved;2020-05-05
205-866153-6208-5-N;Viola Barfoot;Security and Governance;Access/Login;Request;Unassigned;0;18;Satisfied;Open;2020-10-03
263-387073-8151-6-S;Miltie Ealles;Security and Governance;Access/Login;Request;Low;1;17;Unknown;Open;2020-06-07
510-992194-8243-6-I;Barnaby Gifford;Software;Access/Login;Request;High;3;22;Satisfied;Open;2020-08-26
434-887199-5080-8-S;Regan Girvan;Software;Access/Login;Request;Medium;2;20;Satisfied;Open;2020-07-05
557-347162-8889-9-M;Marleen Baytrop;Architecture;Hardware;Request;Medium;2;21;Unknown;Open;2020-06-12
399-965567-1951-2-P;Adlai Stilly;Software;Access/Login;Issue;High;3;29;Satisfied;Resolved;2020-05-08
868-817257-1615-4-G;Victoir Folshom;Security and Governance;Access/Login;Request;Low;1;33;Unknown;Resolved;2020-09-03
354-795846-2148-3-W;Pearle Jaime;Software;Software;Request;High;3;1;Unsatisfied;Open;2020-07-04
595-994385-7261-0-G;Granville Iskov;Architecture;Systems;Request;Unassigned;0;30;Unknown;Open;2020-06-04
129-039484-9492-9-P;Jerry Clausen-Thue;Networking;Access/Login;Issue;High;3;27;Satisfied;Open;2020-07-03
400-297490-2985-2-K;Carolyn Sherbourne;Software;Software;Request;Medium;2;32;Satisfied;Open;2020-06-03
887-963661-0257-8-L;Concettina Studdert;Architecture;Hardware;Request;Unassigned;0;27;Unknown;Resolved;2020-08-25
794-574664-4086-0-R;Eddie Amiranda;Software;Access/Login;Issue;Low;1;37;Satisfied;Open;2020-08-05
101-623876-8573-7-P;Zachary Block;Hardware;Hardware;Request;Unassigned;0;29;Unsatisfied;Open;2020-08-24
916-450375-4304-2-Y;Kylila O'Lenechan;Security and Governance;Access/Login;Request;Medium;2;34;Unknown;Open;2020-07-26
486-128496-3755-6-G;Valentine Galea;Networking;Systems;Request;Unassigned;0;2;Unsatisfied;Waiting for Requestor Feedback;2020-09-13
450-596458-1082-8-X;Salim Renneke;Networking;Hardware;Request;High;3;31;Unknown;Waiting for Requestor Feedback;2020-04-06
674-860649-9491-8-M;Izabel Creswell;Hardware;Systems;Request;Low;1;18;Satisfied;Resolved;2020-07-14
448-936714-7148-2-D;Boyce Matteacci;Architecture;Hardware;Issue;High;3;25;Satisfied;Open;2020-05-26
283-770632-7949-9-S;Minny Shawl;Security and Governance;Access/Login;Request;Unassigned;0;1;Satisfied;Open;2020-06-25
116-063261-4337-3-D;Helaina Scrannage;Hardware;Hardware;Request;Unassigned;0;21;Satisfied;Open;2020-07-07
438-373033-1792-5-E;Marlow Attenburrow;Security and Governance;Access/Login;Issue;Medium;2;17;Satisfied;Resolved;2020-10-27
546-917758-0117-0-N;Roderich Esmond;Security and Governance;Access/Login;Issue;Medium;2;30;Unknown;Open;2020-07-22
456-946591-5022-7-P;Dorthy Barge;Software;Software;Issue;Unassigned;0;28;Satisfied;Waiting for Requestor Feedback;2020-03-14
007-179007-6828-6-D;Cross Syne;Networking;Hardware;Request;High;3;22;Unknown;Open;2020-10-02
366-932146-0545-2-Q;Lauren Patershall;Hardware;Systems;Issue;Low;1;26;Unknown;Open;2020-10-30
934-783631-7958-7-G;Rowney Vise;Networking;Hardware;Issue;High;3;11;Satisfied;Open;2020-09-24
628-088765-4534-1-V;Vita Greber;Software;Access/Login;Issue;Medium;2;22;Satisfied;Open;2020-05-09
848-756752-4045-4-R;Nichol Scampion;Security and Governance;Access/Login;Issue;Unassigned;0;15;Unsatisfied;Open;2020-06-14
936-403098-2674-3-X;Osbourne Dyte;Networking;Systems;Issue;Unassigned;0;20;Unknown;Open;2020-09-11
415-778614-1612-9-F;Kandy Herries;Hardware;Systems;Issue;Unassigned;0;19;Satisfied;Open;2020-10-04
366-569433-4410-2-O;Deeanne Allflatt;Architecture;Systems;Issue;Medium;2;27;Unknown;Open;2020-10-19
711-032986-8121-0-R;Melisent Shird;Software;Access/Login;Request;Unassigned;0;5;Unknown;Open;2020-03-12
368-070803-1662-9-E;Gaye Ickovici;Software;Software;Issue;High;3;10;Satisfied;Open;2020-08-27
091-760630-1437-5-Q;Valma Lilywhite;Security and Governance;Access/Login;Issue;High;3;25;Satisfied;Open;2020-10-07
256-842655-2415-2-N;Rory Rance;Architecture;Hardware;Request;Unassigned;0;36;Satisfied;Open;2020-07-19
879-370032-0141-1-S;Elena Bogges;Networking;Systems;Request;Unassigned;0;17;Unknown;Open;2020-03-17
936-282666-4438-9-O;Dionis Kinch;Architecture;Hardware;Issue;High;3;1;Satisfied;Waiting for Requestor Feedback;2020-07-04
626-881076-5079-4-U;Bartholomew Emson;Networking;Access/Login;Request;Medium;2;33;Satisfied;Resolved;2020-03-16
069-454742-1390-0-O;Arabele Miall;Security and Governance;Access/Login;Request;Medium;2;14;Unknown;Open;2020-08-17
993-128179-9839-9-I;Franni Lacheze;Architecture;Hardware;Request;Unassigned;0;23;Satisfied;Open;2020-10-19
832-012175-6289-5-R;Becka Abbes;Security and Governance;Access/Login;Issue;Low;1;17;Unknown;Resolved;2020-08-21
616-919949-7056-5-U;Elijah Yoseloff;Architecture;Hardware;Request;Medium;2;10;Unknown;Open;2020-07-14
423-258628-7890-9-J;Nico Goodinge;Networking;Hardware;Issue;Unassigned;0;22;Satisfied;Waiting for Requestor Feedback;2020-10-29
794-618077-7113-6-E;Simeon Longlands;Networking;Hardware;Request;Unassigned;0;9;Satisfied;Open;2020-08-29
817-760143-6230-5-I;Arnuad Pasley;Software;Software;Request;Unassigned;0;3;Satisfied;Open;2020-08-23
884-072630-5743-6-J;Wake Mottram;Security and Governance;Access/Login;Request;Medium;2;6;Unknown;Open;2020-05-13
